"file","title","category","oldDescriptionLength","newDescriptionLength","oldTagsCount","newTagsCount","descriptionChanged","tagsChanged"
"chatgpt-untuk-umkm.md","ChatGPT untuk UMKM","ai-chatbot","242","138","6","6","true","false"
"claude-untuk-pemula.md","Claude untuk Pemula: Panduan Lengkap Menggunakan Claude AI untuk Belajar, Bekerja, dan Produktivitas (2026)","ai-chatbot","170","139","5","5","true","false"
"claude-vs-chatgpt.md","Claude vs ChatGPT: Perbandingan Lengkap, Mana AI Chatbot yang Lebih Baik pada 2026?","ai-chatbot","307","137","5","5","true","false"
"claude-vs-gemini.md","Claude vs Gemini: Perbandingan Lengkap, Mana AI Chatbot yang Lebih Baik pada 2026?","ai-chatbot","177","136","5","5","true","false"
"contoh-penerapan-ai.md","Contoh Penerapan AI: 30 Contoh AI dalam Kehidupan, Kerja, Bisnis, dan Pendidikan","belajar-ai","253","136","10","10","true","false"
"contoh-prompt-ai-untuk-belajar.md","Contoh Prompt AI untuk Belajar: Rangkuman, Penjelasan, Latihan, Riset, dan Jadwal Belajar","prompt-engineering","292","150","9","9","true","false"
"contoh-prompt-ai-untuk-bisnis.md","Contoh Prompt AI untuk Bisnis: Marketing, Sales, Customer Service, Operasional, dan Strategi","prompt-engineering","179","149","9","9","true","false"
"contoh-prompt-ai-untuk-kerja.md","Contoh Prompt AI untuk Kerja: Email, Laporan, Meeting, Presentasi, Excel, dan Produktivitas","prompt-engineering","180","148","9","9","true","false"
"deepseek-untuk-pemula.md","DeepSeek untuk Pemula: Panduan Lengkap Menggunakan DeepSeek AI (2026)","ai-chatbot","169","141","5","5","true","false"
"deepseek-vs-chatgpt.md","DeepSeek vs ChatGPT: Perbandingan Lengkap, Mana AI Chatbot yang Lebih Baik pada 2026?","ai-chatbot","172","139","5","5","true","false"
"gemini-ai-untuk-pemula.md","Gemini AI untuk Pemula","belajar-ai","195","139","6","6","true","false"
"grok-untuk-pemula.md","Grok untuk Pemula: Panduan Lengkap Menggunakan Grok AI (2026)","ai-chatbot","162","137","5","5","true","false"
"ide-bisnis-ai-yang-menghasilkan-uang.md","25 Ide Bisnis AI yang Menghasilkan Uang di Tahun 2026","ai-untuk-bisnis","180","160","7","7","true","false"
"istilah-ai.md","Istilah AI yang Harus Diketahui: Glosarium AI untuk Pemula","belajar-ai","231","148","10","10","true","false"
"jasa-ai-yang-paling-laku.md","Jasa AI yang Paling Laku: 15 Layanan Artificial Intelligence dengan Permintaan Tinggi","belajar-ai","258","141","6","6","true","false"
"jenis-jenis-ai.md","Jenis-Jenis Artificial Intelligence: Narrow AI, General AI, Generative AI, dan Contohnya","belajar-ai","261","152","10","10","true","false"
"karier-ai-untuk-pemula.md","Karier AI untuk Pemula: Skill, Profesi, Roadmap, dan Peluang Kerja","karier-ai","276","142","10","10","true","false"
"kesalahan-menggunakan-ai-chatbot.md","Kesalahan Menggunakan AI Chatbot yang Harus Dihindari Pemula, Bisnis, dan Tim Customer Service","ai-chatbot","318","159","7","7","true","false"
"microsoft-copilot-untuk-pemula.md","Microsoft Copilot untuk Pemula: Panduan Lengkap Mengenal dan Menggunakan Microsoft Copilot (2026)","ai-chatbot","165","150","5","5","true","false"
"microsoft-copilot-vs-chatgpt.md","Microsoft Copilot vs ChatGPT: Perbandingan Lengkap, Mana yang Lebih Cocok untuk Produktivitas?","ai-chatbot","172","148","5","5","true","false"
"perbedaan-chatgpt-dan-gemini.md","Perbedaan ChatGPT dan Gemini","ai-chatbot","252","148","6","6","true","false"
"prompt-ai-untuk-copywriting.md","Prompt AI untuk Copywriting: Headline, Iklan, Landing Page, CTA, Email, dan Konten Jualan","prompt-engineering","179","147","9","9","true","false"
"prompt-ai-untuk-customer-service.md","Prompt AI untuk Customer Service: Template Balasan, Komplain, FAQ, Chatbot, dan SOP Layanan","prompt-engineering","294","152","9","9","true","false"
"prompt-ai-untuk-email-marketing.md","Prompt AI untuk Email Marketing: Newsletter, Sequence, Follow-Up, Subject Line, dan Campaign","prompt-engineering","295","151","9","9","true","false"
"prompt-ai-untuk-sales.md","Prompt AI untuk Sales: Follow-Up, Prospecting, Objection Handling, Closing, CRM, dan Proposal","prompt-engineering","296","141","9","9","true","false"
"prompt-ai-untuk-seo.md","Prompt AI untuk SEO: Riset Keyword, Outline Artikel, Optimasi Konten, dan Audit Website","prompt-engineering","290","139","9","9","true","false"
"prompt-ai-untuk-social-media.md","Prompt AI untuk Social Media: Ide Konten, Caption, Hook, Kalender Posting, Reels, TikTok, dan Carousel","prompt-engineering","180","148","10","10","true","false"
"prompt-chatgpt-untuk-menulis.md","Prompt ChatGPT untuk Menulis: Artikel, Email, Caption, Copywriting, Cerita, dan Konten","prompt-engineering","289","148","9","9","true","false"
"prompt-chatgpt-untuk-presentasi.md","Prompt ChatGPT untuk Presentasi: Ide Slide, Outline, Script, Narasi, dan Desain","prompt-engineering","282","151","9","9","true","false"
"prompt-chatgpt-untuk-produktivitas.md","Prompt ChatGPT untuk Produktivitas Harian: Kerja Lebih Cepat, Fokus, dan Teratur dengan AI","prompt-engineering","293","149","8","8","true","false"
"prompt-chatgpt-untuk-riset.md","Prompt ChatGPT untuk Riset: Cara Mencari, Merangkum, Membandingkan, dan Menganalisis Informasi","prompt-engineering","297","146","8","8","true","false"
"prompt-engineering-untuk-pemula.md","Prompt Engineering untuk Pemula: Panduan Lengkap Menulis Prompt AI yang Efektif","prompt-engineering","282","151","7","7","true","false"
"pusat-ai-untuk-bisnis.md","AI untuk Bisnis: Panduan Lengkap AI untuk UMKM, Marketing, Sales, dan Produktivitas","ai-untuk-bisnis","167","135","7","7","true","false"
"roadmap-belajar-ai.md","Roadmap Belajar AI: Panduan Lengkap dari Pemula hingga Mahir","belajar-ai","168","135","6","6","true","false"
"roadmap-menjadi-ai-consultant.md","Roadmap Menjadi AI Consultant: Panduan Lengkap dari Pemula hingga Profesional","karier-ai","169","149","7","7","true","false"
"roadmap-menjadi-ai-specialist.md","Roadmap Menjadi AI Specialist: Panduan Lengkap dari Pemula hingga Profesional","karier-ai","168","149","7","7","true","false"
"skill-ai-yang-dibutuhkan-perusahaan.md","Skill AI yang Dibutuhkan Perusahaan: Panduan untuk Karyawan dan Fresh Graduate","karier-ai","288","155","10","10","true","false"
"struktur-prompt-ai-yang-baik.md","Struktur Prompt AI yang Baik: Panduan, Format, Contoh, dan Template Siap Pakai","prompt-engineering","281","148","8","8","true","false"
"studi-kasus-ai-untuk-content-creator.md","Studi Kasus AI untuk Content Creator: Workflow Konten dari Ide sampai Monetisasi","studi-kasus-ai","281","156","10","10","true","false"
"studi-kasus-ai-untuk-umkm.md","Studi Kasus AI untuk UMKM: Contoh Penerapan AI dalam Bisnis Kecil","studi-kasus-ai","266","145","10","10","true","false"
"studi-kasus-umkm-menggunakan-ai.md","Studi Kasus UMKM Menggunakan AI: Cara AI Membantu Meningkatkan Produktivitas dan Penjualan","ai-untuk-bisnis","168","151","7","7","true","false"
"tools-ai-untuk-desain-grafis.md","15 Tools AI untuk Desain Grafis Terbaik 2026: Buat Desain Profesional Lebih Cepat","ai-tools","278","152","7","7","true","false"
"tools-ai-untuk-hrd.md","15 Tools AI untuk HRD Terbaik 2026: Rekrutmen, Screening CV, hingga Employee Engagement","ai-tools","170","154","7","7","true","false"
"tools-ai-untuk-youtube.md","15 Tools AI untuk YouTube Terbaik 2026","ai-tools","166","158","7","7","true","false"
