"file","slug","title","category","pubDate","author","draft","featured","tagsCount","wordCount","internalLinksCount","issuesCount","issues"
"50-prompt-chatgpt-untuk-marketing.md","50-prompt-chatgpt-untuk-marketing","50 Prompt ChatGPT untuk Marketing yang Siap Pakai untuk Bisnis dan UMKM","ai-chatbot","2026-06-20","AI Praktis Indonesia","false","false","6","1549","20","0",""
"50-prompt-chatgpt-untuk-sales.md","50-prompt-chatgpt-untuk-sales","50 Prompt ChatGPT untuk Sales yang Siap Pakai untuk Meningkatkan Penjualan","ai-chatbot","2026-06-20","AI Praktis Indonesia","false","false","6","1410","12","0",""
"50-prompt-chatgpt-untuk-umkm.md","50-prompt-chatgpt-untuk-umkm","50 Prompt ChatGPT untuk UMKM yang Bisa Langsung Digunakan","ai-chatbot","2026-06-21","AI Praktis Indonesia","false","false","7","1590","20","0",""
"ai-agent-untuk-pemula.md","ai-agent-untuk-pemula","AI Agent untuk Pemula: Panduan Lengkap Memahami Teknologi AI Masa Depan","belajar-ai","2026-06-28","AI Praktis Indonesia","false","false","6","886","12","0",""
"ai-chatbot-terbaik.md","ai-chatbot-terbaik","AI Chatbot Terbaik 2026: Rekomendasi untuk Kerja, Belajar, Bisnis, Coding, dan Konten","ai-chatbot","2026-07-08","AI Praktis Indonesia","false","false","9","3868","49","0",""
"ai-chatbot-untuk-bisnis.md","ai-chatbot-untuk-bisnis","AI Chatbot untuk Bisnis: Rekomendasi Tools, Manfaat, dan Cara Menggunakannya","ai-chatbot","2026-07-08","AI Praktis Indonesia","false","false","9","4284","47","0",""
"ai-chatbot-untuk-crm.md","ai-chatbot-untuk-crm","AI Chatbot untuk CRM: Manfaat, Tools, Contoh Workflow, dan Cara Mengelola Lead Lebih Rapi","ai-chatbot","2026-07-10","AI Praktis Indonesia","false","false","7","4208","34","0",""
"ai-chatbot-untuk-customer-service.md","ai-chatbot-untuk-customer-service","AI Chatbot untuk Customer Service: Manfaat, Contoh, Tools, dan Cara Menggunakannya","ai-chatbot","2026-07-08","AI Praktis Indonesia","false","false","8","4203","33","0",""
"ai-chatbot-untuk-email.md","ai-chatbot-untuk-email","AI Chatbot untuk Email: Cara Membalas, Follow-Up, Otomasi, dan Meningkatkan Konversi","ai-chatbot","2026-07-10","AI Praktis Indonesia","false","false","8","3674","33","0",""
"ai-chatbot-untuk-instagram.md","ai-chatbot-untuk-instagram","AI Chatbot untuk Instagram: Manfaat, Tools, Contoh Flow, dan Strategi DM Automation","ai-chatbot","2026-07-09","AI Praktis Indonesia","false","false","8","3775","27","0",""
"ai-chatbot-untuk-landing-page.md","ai-chatbot-untuk-landing-page","AI Chatbot untuk Landing Page: Cara Meningkatkan Lead, Konversi, dan Penjualan","ai-chatbot","2026-07-10","AI Praktis Indonesia","false","false","8","3852","27","0",""
"ai-chatbot-untuk-lead-generation.md","ai-chatbot-untuk-lead-generation","AI Chatbot untuk Lead Generation: Strategi, Tools, Contoh, dan Cara Meningkatkan Konversi","ai-chatbot","2026-07-09","AI Praktis Indonesia","false","false","7","3493","26","0",""
"ai-chatbot-untuk-marketing.md","ai-chatbot-untuk-marketing","AI Chatbot untuk Marketing: Manfaat, Strategi, Tools, Contoh Prompt, dan Cara Meningkatkan Konversi","ai-chatbot","2026-07-09","AI Praktis Indonesia","false","false","7","3890","31","0",""
"ai-chatbot-untuk-otomasi-bisnis.md","ai-chatbot-untuk-otomasi-bisnis","AI Chatbot untuk Otomasi Bisnis: Contoh Workflow, Tools, Strategi, dan Cara Memulainya","ai-chatbot","2026-07-10","AI Praktis Indonesia","false","false","7","4036","34","0",""
"ai-chatbot-untuk-sales.md","ai-chatbot-untuk-sales","AI Chatbot untuk Sales: Manfaat, Strategi, Tools, Contoh Prompt, dan Cara Meningkatkan Closing","ai-chatbot","2026-07-09","AI Praktis Indonesia","false","false","7","4000","30","0",""
"ai-chatbot-untuk-tiktok.md","ai-chatbot-untuk-tiktok","AI Chatbot untuk TikTok: Manfaat, Tools, Contoh Flow, dan Strategi Meningkatkan Lead dari Konten Viral","ai-chatbot","2026-07-09","AI Praktis Indonesia","false","false","8","3848","25","0",""
"ai-chatbot-untuk-toko-online.md","ai-chatbot-untuk-toko-online","AI Chatbot untuk Toko Online: Manfaat, Tools, Contoh, dan Strategi Meningkatkan Penjualan","ai-chatbot","2026-07-08","AI Praktis Indonesia","false","false","6","3635","21","0",""
"ai-chatbot-untuk-website.md","ai-chatbot-untuk-website","AI Chatbot untuk Website: Manfaat, Tools, Contoh, dan Cara Memasangnya","ai-chatbot","2026-07-08","AI Praktis Indonesia","false","false","6","3469","25","0",""
"ai-chatbot-untuk-whatsapp.md","ai-chatbot-untuk-whatsapp","AI Chatbot untuk WhatsApp: Manfaat, Cara Kerja, Tools, dan Contoh Penggunaan","ai-chatbot","2026-07-08","AI Praktis Indonesia","false","false","7","4207","26","0",""
"ai-chatbot-untuk-youtube.md","ai-chatbot-untuk-youtube","AI Chatbot untuk YouTube: Manfaat, Tools, Contoh Flow, dan Strategi Mengubah Penonton Menjadi Lead","ai-chatbot","2026-07-09","AI Praktis Indonesia","false","false","7","3930","25","0",""
"ai-consultant.md","ai-consultant","AI Consultant: Pengertian, Tugas, Skill, Gaji, dan Cara Menjadi Konsultan AI","karier-ai","2026-06-23","AI Praktis Indonesia","false","false","7","823","14","0",""
"ai-content-editor.md","ai-content-editor","AI Content Editor: Pengertian, Tugas, Skill, dan Cara Menjadi AI Content Editor","belajar-ai","2026-06-25","AI Praktis Indonesia","false","false","6","1418","23","0",""
"ai-specialist.md","ai-specialist","AI Specialist: Pengertian, Tugas, Skill, Gaji, dan Cara Menjadi AI Specialist","karier-ai","2026-06-23","AI Praktis Indonesia","false","false","7","855","16","0",""
"ai-tools-terbaik-untuk-produktivitas.md","ai-tools-terbaik-untuk-produktivitas","AI Tools Terbaik untuk Produktivitas Kerja dan Bisnis","ai-tools","2026-07-11","AI Praktis Indonesia","false","false","10","5334","60","0",""
"ai-tools-untuk-desain.md","ai-tools-untuk-desain","AI Tools untuk Desain: Membuat Gambar, Logo, Poster, dan Visual Konten","ai-tools","2026-07-11","AI Praktis Indonesia","false","false","10","4704","33","0",""
"ai-tools-untuk-guru.md","ai-tools-untuk-guru","AI Tools untuk Guru: Membuat Materi Ajar, Soal, dan Rencana Pembelajaran","ai-tools","2026-07-12","AI Praktis Indonesia","false","false","10","5508","41","0",""
"ai-tools-untuk-menulis.md","ai-tools-untuk-menulis","AI Tools untuk Menulis Artikel, Blog, Email, dan Copywriting","ai-tools","2026-07-11","AI Praktis Indonesia","false","false","10","5078","57","0",""
"ai-tools-untuk-presentasi.md","ai-tools-untuk-presentasi","AI Tools untuk Presentasi: Membuat Slide Lebih Cepat dan Profesional","ai-tools","2026-07-11","AI Praktis Indonesia","false","false","10","4910","43","0",""
"ai-tools-untuk-riset.md","ai-tools-untuk-riset","AI Tools untuk Riset: Mencari Referensi, Data, dan Insight Lebih Cepat","ai-tools","2026-07-11","AI Praktis Indonesia","false","false","10","5555","48","0",""
"ai-tools-untuk-seo.md","ai-tools-untuk-seo","AI Tools untuk SEO: Keyword, Artikel, Optimasi, dan Audit Website","ai-tools","2026-07-12","AI Praktis Indonesia","false","false","10","5946","45","0",""
"ai-tools-untuk-social-media.md","ai-tools-untuk-social-media","AI Tools untuk Social Media: Ide Konten, Jadwal Posting, dan Analisis","ai-tools","2026-07-12","AI Praktis Indonesia","false","false","10","5813","55","0",""
"ai-tools-untuk-umkm.md","ai-tools-untuk-umkm","AI Tools untuk UMKM: Tools Praktis untuk Promosi, Admin, dan Penjualan","ai-tools","2026-07-12","AI Praktis Indonesia","false","false","10","5832","57","0",""
"ai-tools-untuk-video.md","ai-tools-untuk-video","AI Tools untuk Video: Script, Editing, Subtitle, dan Konten Short Form","ai-tools","2026-07-11","AI Praktis Indonesia","false","false","10","5146","44","0",""
"ai-trainer.md","ai-trainer","AI Trainer: Pengertian, Tugas, Skill, Gaji, dan Cara Menjadi AI Trainer","karier-ai","2026-06-23","AI Praktis Indonesia","false","false","7","805","12","0",""
"ai-untuk-administrasi-perkantoran.md","ai-untuk-administrasi-perkantoran","AI untuk Administrasi Perkantoran","ai-untuk-bisnis","2026-06-15","AI Praktis Indonesia","false","false","7","1672","15","0",""
"ai-untuk-bisnis-kuliner.md","ai-untuk-bisnis-kuliner","AI untuk Bisnis Kuliner: Cara Meningkatkan Penjualan dan Efisiensi Usaha Makanan","ai-untuk-bisnis","2026-06-16","AI Praktis Indonesia","false","false","7","905","16","0",""
"ai-untuk-bisnis.md","ai-untuk-bisnis","AI untuk Bisnis","ai-untuk-bisnis","2026-06-13","AI Praktis Indonesia","false","false","6","1238","33","0",""
"ai-untuk-blogger.md","ai-untuk-blogger","AI untuk Blogger: Riset Keyword, Outline, Artikel, SEO, dan Monetisasi","ai-untuk-content-creator","2026-07-17","AI Praktis Indonesia","false","false","10","4350","50","0",""
"ai-untuk-blogging.md","ai-untuk-blogging","AI untuk Blogging: Cara Membuat Blog Lebih Cepat, Konsisten, dan Menghasilkan","ai-untuk-content-creator","2026-06-16","AI Praktis Indonesia","false","false","7","944","13","0",""
"ai-untuk-content-creator.md","ai-untuk-content-creator","AI untuk Content Creator: Cara Membuat Konten Lebih Cepat dan Berkualitas","ai-untuk-content-creator","2026-06-15","AI Praktis Indonesia","false","false","7","1102","27","0",""
"ai-untuk-customer-service.md","ai-untuk-customer-service","AI untuk Customer Service: Membalas Pelanggan Lebih Cepat dan Konsisten","ai-untuk-bisnis","2026-07-16","AI Praktis Indonesia","false","false","10","3654","46","0",""
"ai-untuk-customer-support.md","ai-untuk-customer-support","AI untuk Customer Support: Cara Melayani Pelanggan Lebih Cepat dan Efisien","ai-untuk-bisnis","2026-06-16","AI Praktis Indonesia","false","false","7","888","13","0",""
"ai-untuk-digital-marketing-agency.md","ai-untuk-digital-marketing-agency","AI untuk Digital Marketing Agency: Konten, Iklan, Laporan, dan Strategi Klien","ai-untuk-bisnis","2026-07-16","AI Praktis Indonesia","false","false","10","3771","56","0",""
"ai-untuk-digital-marketing.md","ai-untuk-digital-marketing","AI untuk Digital Marketing: Cara Meningkatkan Efektivitas Pemasaran","ai-untuk-bisnis","2026-06-15","AI Praktis Indonesia","false","false","7","1825","27","0",""
"ai-untuk-dosen.md","ai-untuk-dosen","AI untuk Dosen: Riset, Materi Kuliah, Publikasi, dan Pembelajaran","ai-untuk-pendidikan","2026-07-17","AI Praktis Indonesia","false","false","10","3683","43","0",""
"ai-untuk-freelancer.md","ai-untuk-freelancer","AI untuk Freelancer","karier-ai","2026-06-15","AI Praktis Indonesia","false","false","6","841","13","0",""
"ai-untuk-guru.md","ai-untuk-guru","AI untuk Guru: Membuat Materi Ajar, Soal, Rubrik, dan Administrasi","ai-untuk-pendidikan","2026-07-16","AI Praktis Indonesia","false","false","10","2968","37","0",""
"ai-untuk-hrd-dan-rekrutmen.md","ai-untuk-hrd-dan-rekrutmen","AI untuk HRD dan Rekrutmen: Cara Merekrut Karyawan Lebih Efisien","ai-untuk-bisnis","2026-06-15","AI Praktis Indonesia","false","false","7","1762","13","0",""
"ai-untuk-instagram-creator.md","ai-untuk-instagram-creator","AI untuk Instagram Creator: Reels, Caption, Carousel, dan DM Automation","ai-untuk-content-creator","2026-07-17","AI Praktis Indonesia","false","false","10","4523","53","0",""
"ai-untuk-instagram.md","ai-untuk-instagram","AI untuk Instagram: Cara Membuat Konten Lebih Cepat dan Menarik","ai-untuk-content-creator","2026-06-16","AI Praktis Indonesia","false","false","8","929","17","0",""
"ai-untuk-jasa-profesional.md","ai-untuk-jasa-profesional","AI untuk Jasa Profesional: Cara Meningkatkan Produktivitas dan Pelayanan Klien","ai-untuk-bisnis","2026-06-16","AI Praktis Indonesia","false","false","7","908","15","0",""
"ai-untuk-kursus-online.md","ai-untuk-kursus-online","AI untuk Kursus Online: Materi, Kuis, Landing Page, dan Marketing","ai-untuk-pendidikan","2026-07-17","AI Praktis Indonesia","false","false","10","3319","41","0",""
"ai-untuk-mahasiswa.md","ai-untuk-mahasiswa","AI untuk Mahasiswa: Belajar, Riset, Skripsi, Presentasi, dan Produktivitas","ai-untuk-pendidikan","2026-07-16","AI Praktis Indonesia","false","false","10","2650","44","0",""
"ai-untuk-marketing.md","ai-untuk-marketing","AI untuk Marketing: Strategi, Tools, Prompt, dan Contoh Penerapan","ai-untuk-bisnis","2026-07-16","AI Praktis Indonesia","false","false","10","3526","60","0",""
"ai-untuk-menulis-artikel.md","ai-untuk-menulis-artikel","AI untuk Menulis Artikel: Cara Membuat Konten Lebih Cepat dan Berkualitas","ai-untuk-content-creator","2026-06-16","AI Praktis Indonesia","false","false","7","960","22","0",""
"ai-untuk-pemula.md","ai-untuk-pemula","AI untuk Pemula: Panduan Lengkap Memahami dan Menggunakan AI dari Nol","belajar-ai","2026-07-11","AI Praktis Indonesia","false","true","10","3665","70","0",""
"ai-untuk-pendidikan.md","ai-untuk-pendidikan","AI untuk Pendidikan: Cara Guru dan Mahasiswa Belajar Lebih Efektif","ai-untuk-pendidikan","2026-06-15","AI Praktis Indonesia","false","false","7","1075","15","0",""
"ai-untuk-penjualan.md","ai-untuk-penjualan","AI untuk Penjualan","ai-untuk-bisnis","2026-06-15","AI Praktis Indonesia","false","false","6","820","11","0",""
"ai-untuk-personal-assistant.md","ai-untuk-personal-assistant","AI untuk Personal Assistant: Cara Mengelola Pekerjaan dan Aktivitas Lebih Produktif","tutorial-ai","2026-06-16","AI Praktis Indonesia","false","false","7","906","13","0",""
"ai-untuk-podcaster.md","ai-untuk-podcaster","AI untuk Podcaster: Ide Episode, Script, Transkrip, dan Promosi Konten","ai-untuk-content-creator","2026-07-17","AI Praktis Indonesia","false","false","10","4601","48","0",""
"ai-untuk-produktivitas.md","ai-untuk-produktivitas","AI untuk Produktivitas","tutorial-ai","2026-06-15","AI Praktis Indonesia","false","false","6","833","13","0",""
"ai-untuk-sales.md","ai-untuk-sales","AI untuk Sales: Cara Meningkatkan Follow-Up, Closing, dan Produktivitas Tim","ai-untuk-bisnis","2026-07-16","AI Praktis Indonesia","false","false","10","3175","43","0",""
"ai-untuk-siswa.md","ai-untuk-siswa","AI untuk Siswa: Cara Belajar Lebih Mudah, Aman, dan Bertanggung Jawab","ai-untuk-pendidikan","2026-07-17","AI Praktis Indonesia","false","false","10","3104","34","0",""
"ai-untuk-staff-keuangan.md","ai-untuk-staff-keuangan","AI untuk Staff Keuangan: Cara Bekerja Lebih Cepat, Akurat, dan Produktif","ai-untuk-bisnis","2026-06-16","AI Praktis Indonesia","false","false","7","887","10","0",""
"ai-untuk-tiktok.md","ai-untuk-tiktok","AI untuk TikTok: Cara Membuat Konten Viral dan Produktif","ai-untuk-content-creator","2026-06-16","AI Praktis Indonesia","false","false","8","959","16","0",""
"ai-untuk-tiktoker.md","ai-untuk-tiktoker","AI untuk TikToker: Ide Video, Hook, Script, Caption, dan Kalender Konten","ai-untuk-content-creator","2026-07-17","AI Praktis Indonesia","false","false","10","3963","41","0",""
"ai-untuk-toko-fashion.md","ai-untuk-toko-fashion","AI untuk Toko Fashion: Cara Meningkatkan Penjualan dan Pemasaran Bisnis Fashion","ai-untuk-bisnis","2026-06-16","AI Praktis Indonesia","false","false","7","874","15","0",""
"ai-untuk-toko-online.md","ai-untuk-toko-online","AI untuk Toko Online","ai-untuk-bisnis","2026-06-15","AI Praktis Indonesia","false","false","7","902","14","0",""
"ai-untuk-umkm-online-shop.md","ai-untuk-umkm-online-shop","AI untuk UMKM Online Shop: Promosi, Admin, WhatsApp, dan Penjualan","ai-untuk-bisnis","2026-07-16","AI Praktis Indonesia","false","false","10","3161","51","0",""
"ai-untuk-youtube.md","ai-untuk-youtube","AI untuk YouTube: Cara Membuat Konten Video Lebih Cepat dan Efisien","ai-untuk-content-creator","2026-06-16","AI Praktis Indonesia","false","false","8","907","14","0",""
"ai-untuk-youtuber.md","ai-untuk-youtuber","AI untuk YouTuber: Ide Konten, Script, Thumbnail, SEO, dan Workflow","ai-untuk-content-creator","2026-07-17","AI Praktis Indonesia","false","false","10","3767","42","0",""
"alternatif-chatgpt-terbaik.md","alternatif-chatgpt-terbaik","15 Alternatif ChatGPT Terbaik 2026 untuk Menulis, Belajar, dan Bisnis","ai-chatbot","2026-06-26","AI Praktis Indonesia","false","false","6","2004","17","0",""
"apa-itu-ai.md","apa-itu-ai","Apa Itu Artificial Intelligence (AI)?","belajar-ai","2026-06-12","AI Praktis Indonesia","false","false","6","1264","14","0",""
"apakah-ai-akan-menggantikan-pekerjaan-manusia.md","apakah-ai-akan-menggantikan-pekerjaan-manusia","Apakah AI Akan Menggantikan Pekerjaan Manusia?","belajar-ai","2026-06-13","AI Praktis Indonesia","false","false","6","1255","14","0",""
"apakah-ai-aman-untuk-digunakan.md","apakah-ai-aman-untuk-digunakan","Apakah AI Aman Digunakan?","belajar-ai","2026-06-16","AI Praktis Indonesia","false","false","6","1184","11","0",""
"bisnis-ai-untuk-pemula.md","bisnis-ai-untuk-pemula","Bisnis AI untuk Pemula: 15 Peluang Usaha Artificial Intelligence yang Bisa Dimulai Sekarang","belajar-ai","2026-06-25","AI Praktis Indonesia","false","false","6","1807","28","0",""
"cara-belajar-ai-dari-nol.md","cara-belajar-ai-dari-nol","Cara Belajar AI dari Nol","belajar-ai","2026-06-15","AI Praktis Indonesia","false","false","6","1025","16","0",""
"cara-belajar-prompt-engineering.md","cara-belajar-prompt-engineering","Cara Belajar Prompt Engineering: Panduan Lengkap untuk Pemula Tahun 2026","prompt-engineering","2026-06-30","AI Praktis Indonesia","false","false","7","858","10","0",""
"cara-membangun-agensi-ai.md","cara-membangun-agensi-ai","Cara Membangun Agensi AI: Panduan Lengkap dari Freelancer hingga Bisnis AI yang Berkembang","tutorial-ai","2026-06-25","AI Praktis Indonesia","false","false","7","2048","27","0",""
"cara-membangun-portofolio-ai.md","cara-membangun-portofolio-ai","Cara Membangun Portofolio AI untuk Kerja, Freelance, dan Karier Digital","karier-ai","2026-07-17","AI Praktis Indonesia","false","false","10","3787","62","0",""
"cara-membuat-ai-agent.md","cara-membuat-ai-agent","Cara Membuat AI Agent: Panduan Lengkap untuk Pemula Tanpa Coding","tutorial-ai","2026-06-28","AI Praktis Indonesia","false","false","7","927","10","0",""
"cara-membuat-aplikasi-ai.md","cara-membuat-aplikasi-ai","Cara Membuat Aplikasi AI: Panduan Lengkap untuk Pemula dan Bisnis","tutorial-ai","2026-06-28","AI Praktis Indonesia","false","false","7","868","10","0",""
"cara-membuat-aplikasi-dengan-ai.md","cara-membuat-aplikasi-dengan-ai","Cara Membuat Aplikasi dengan AI: Panduan Lengkap untuk Pemula Tanpa Coding","tutorial-ai","2026-06-28","AI Praktis Indonesia","false","false","7","818","10","0",""
"cara-membuat-chatbot-dengan-ai.md","cara-membuat-chatbot-dengan-ai","Cara Membuat Chatbot dengan AI: Panduan Lengkap untuk Bisnis dan UMKM","tutorial-ai","2026-06-28","AI Praktis Indonesia","false","false","7","900","10","0",""
"cara-membuat-cv-dengan-ai.md","cara-membuat-cv-dengan-ai","Cara Membuat CV dengan AI: Panduan Lengkap untuk Mendapatkan Pekerjaan Lebih Cepat","tutorial-ai","2026-06-27","AI Praktis Indonesia","false","false","7","1579","17","0",""
"cara-membuat-gambar-dengan-ai.md","cara-membuat-gambar-dengan-ai","Cara Membuat Gambar dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","2026-06-27","AI Praktis Indonesia","false","false","7","1862","20","0",""
"cara-membuat-konten-dengan-ai.md","cara-membuat-konten-dengan-ai","Cara Membuat Konten dengan AI","tutorial-ai","2026-06-13","AI Praktis Indonesia","false","false","7","1277","14","0",""
"cara-membuat-logo-dengan-ai.md","cara-membuat-logo-dengan-ai","Cara Membuat Logo dengan AI: Panduan Lengkap untuk UMKM, Bisnis, dan Content Creator","tutorial-ai","2026-06-28","AI Praktis Indonesia","false","false","7","1774","15","0",""
"cara-membuat-presentasi-dengan-ai.md","cara-membuat-presentasi-dengan-ai","Cara Membuat Presentasi dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","2026-06-27","AI Praktis Indonesia","false","false","7","1795","21","0",""
"cara-membuat-prompt-yang-baik.md","cara-membuat-prompt-yang-baik","Cara Membuat Prompt yang Baik untuk AI","prompt-engineering","2026-06-16","AI Praktis Indonesia","false","false","7","1204","14","0",""
"cara-membuat-saas-ai.md","cara-membuat-saas-ai","Cara Membuat SaaS AI: Panduan Lengkap Membangun Bisnis Software AI","tutorial-ai","2026-06-29","AI Praktis Indonesia","false","false","7","873","10","0",""
"cara-membuat-surat-lamaran-kerja-dengan-ai.md","cara-membuat-surat-lamaran-kerja-dengan-ai","Cara Membuat Surat Lamaran Kerja dengan AI: Panduan Lengkap untuk Fresh Graduate dan Profesional","tutorial-ai","2026-06-27","AI Praktis Indonesia","false","false","7","1469","17","0",""
"cara-membuat-toko-online-dengan-ai.md","cara-membuat-toko-online-dengan-ai","Cara Membuat Toko Online dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","2026-06-28","AI Praktis Indonesia","false","false","7","867","10","0",""
"cara-membuat-video-ai.md","cara-membuat-video-ai","Cara Membuat Video AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","2026-06-27","AI Praktis Indonesia","false","false","7","1643","22","0",""
"cara-membuat-website-dengan-ai.md","cara-membuat-website-dengan-ai","Cara Membuat Website dengan AI: Panduan Lengkap untuk Pemula 2026","tutorial-ai","2026-06-27","AI Praktis Indonesia","false","false","7","1945","20","0",""
"cara-memilih-ai-chatbot.md","cara-memilih-ai-chatbot","Cara Memilih AI Chatbot yang Tepat untuk Kerja, Bisnis, Belajar, dan Customer Service","ai-chatbot","2026-07-10","AI Praktis Indonesia","false","false","8","4130","46","0",""
"cara-mendapatkan-klien-ai-consultant.md","cara-mendapatkan-klien-ai-consultant","Cara Mendapatkan Klien AI Consultant: Panduan Lengkap untuk Pemula","tutorial-ai","2026-06-25","AI Praktis Indonesia","false","false","7","1659","21","0",""
"cara-mendapatkan-pekerjaan-ai.md","cara-mendapatkan-pekerjaan-ai","Cara Mendapatkan Pekerjaan AI: Panduan Lengkap Memulai Karier di Bidang Artificial Intelligence","tutorial-ai","2026-06-29","AI Praktis Indonesia","false","false","7","881","13","0",""
"cara-menggunakan-ai-untuk-belajar.md","cara-menggunakan-ai-untuk-belajar","Cara Menggunakan AI untuk Belajar Lebih Cepat dan Terarah","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","2526","40","0",""
"cara-menggunakan-ai-untuk-email.md","cara-menggunakan-ai-untuk-email","Cara Menggunakan AI untuk Membuat Email Profesional dan Follow-Up","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","2887","40","0",""
"cara-menggunakan-ai-untuk-excel.md","cara-menggunakan-ai-untuk-excel","Cara Menggunakan AI untuk Excel, Spreadsheet, dan Analisis Data Sederhana","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","3278","43","0",""
"cara-menggunakan-ai-untuk-kerja.md","cara-menggunakan-ai-untuk-kerja","Cara Menggunakan AI untuk Kerja Sehari-hari agar Lebih Produktif","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","3547","57","0",""
"cara-menggunakan-ai-untuk-membuat-konten.md","cara-menggunakan-ai-untuk-membuat-konten","Cara Menggunakan AI untuk Membuat Konten Harian Lebih Konsisten","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","2910","48","0",""
"cara-menggunakan-ai-untuk-membuat-presentasi.md","cara-menggunakan-ai-untuk-membuat-presentasi","Cara Menggunakan AI untuk Membuat Presentasi Profesional","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","2878","42","0",""
"cara-menggunakan-ai-untuk-menulis-artikel.md","cara-menggunakan-ai-untuk-menulis-artikel","Cara Menggunakan AI untuk Menulis Artikel Blog dari Nol","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","3084","42","0",""
"cara-menggunakan-ai-untuk-notulen-rapat.md","cara-menggunakan-ai-untuk-notulen-rapat","Cara Menggunakan AI untuk Notulen Rapat, Ringkasan, dan Action Items","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","2752","40","0",""
"cara-menggunakan-ai-untuk-pemula.md","cara-menggunakan-ai-untuk-pemula","Cara Menggunakan AI untuk Pemula","belajar-ai","2026-06-15","AI Praktis Indonesia","false","false","6","1452","19","0",""
"cara-menggunakan-ai-untuk-riset.md","cara-menggunakan-ai-untuk-riset","Cara Menggunakan AI untuk Riset, Merangkum, dan Menganalisis Informasi","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","2827","41","0",""
"cara-menggunakan-ai-untuk-seo.md","cara-menggunakan-ai-untuk-seo","Cara Menggunakan AI untuk SEO Website dan Artikel Blog","tutorial-ai","2026-07-13","AI Praktis Indonesia","false","false","10","3610","37","0",""
"cara-menggunakan-chatgpt-untuk-belajar-lebih-efektif.md","cara-menggunakan-chatgpt-untuk-belajar-lebih-efektif","Cara Menggunakan ChatGPT untuk Belajar Lebih Efektif","ai-chatbot","2026-06-15","AI Praktis Indonesia","false","false","6","1506","17","0",""
